               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067453,            0.018969,                   0,             0.72741,             0.82498,             0.80734,             0.39306,            0.040856,           0.0053436,                   0,            0.070081,           0.0033244,           0.0033244
                   1,            0.044374,            0.011319,                   0,             0.95049,             0.90501,             0.95006,             0.45916,            0.034496,           0.0042939,                   0,            0.039751,           0.0063281,           0.0063281
                   2,            0.040239,            0.009841,                   0,             0.95533,             0.93782,             0.96439,             0.51413,            0.034368,           0.0040523,                   0,           0.0090915,           0.0090019,           0.0090019
                   3,            0.037373,           0.0092747,                   0,             0.97647,             0.93179,             0.96994,             0.53899,            0.030427,           0.0040165,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.034647,           0.0088022,                   0,             0.95638,             0.94679,             0.97548,             0.57339,            0.029998,           0.0038546,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.032762,           0.0084178,                   0,             0.97381,             0.96338,             0.97229,             0.55758,            0.030029,           0.0039755,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.031608,           0.0081142,                   0,             0.96074,             0.97201,             0.98053,             0.60426,            0.027644,           0.0037247,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.030736,           0.0079508,                   0,             0.98302,             0.96028,             0.97798,             0.60069,            0.028889,           0.0035992,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.029743,           0.0078929,                   0,             0.98415,             0.96492,             0.98261,              0.6188,            0.028409,           0.0035309,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.029157,           0.0077054,                   0,             0.98634,             0.97237,             0.98318,             0.59832,            0.028572,           0.0035575,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.028747,            0.007753,                   0,             0.98399,             0.97409,             0.98186,             0.61157,             0.02836,            0.003578,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.027823,           0.0074011,                   0,             0.98722,             0.96891,             0.98235,             0.62508,            0.028346,           0.0034982,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.027521,           0.0073142,                   0,             0.98807,             0.96373,             0.98166,             0.63102,            0.027814,           0.0034784,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.027169,           0.0074091,                   0,             0.98597,             0.97119,             0.98054,             0.62698,            0.028533,           0.0035247,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.026701,           0.0072413,                   0,             0.98699,             0.97409,             0.98008,             0.63271,             0.02679,           0.0035425,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.026098,           0.0071733,                   0,             0.98829,             0.97064,             0.98426,             0.64032,            0.026429,           0.0034456,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.025946,           0.0069446,                   0,             0.97916,             0.97363,             0.97947,             0.61394,            0.027387,           0.0035051,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.025129,           0.0070698,                   0,              0.9809,             0.97571,             0.98323,             0.64294,            0.026502,           0.0034771,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.024605,           0.0068616,                   0,             0.97945,             0.97927,             0.98196,             0.63809,            0.027409,            0.003412,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.024024,           0.0068859,                   0,              0.9895,             0.97755,              0.9828,             0.64718,             0.02696,           0.0034118,                   0,             0.00109,             0.00109,             0.00109
